Nama_Produk,Warna,Harga,Diskon,Pembeli,baik,ori
ASUS X441UB-GA042T 14",Black,6369000,4,44,L***1,Laptop aman dan barang ori,0,1
ASUS X441UB-GA042T 14",Black,6369000,4,44,L***1,Makasih JDID barang sampai dengan slamat,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,e***,Mantap,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,l***a,Mantap,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,F***i,Bagus,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,h***9,jdid memang Okeeeeee,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,j***i,ya,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,F***i,murah,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,l***a,puas murah cepet,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,s***1,Sukaa dengan laptop nya Warna putih nya bikin jatuh hati Performa laptop juga ga di ragukan lagi sesuai deskripsi plus free WIN 10 Packing rapi dan aman Walau dikirim saat hujan bebas khawatir kena basah karena packing sampai beberapa lapisan Udah gitu dapet free tas nya juga Puas banget deeh belanja di JDID selalu dapat yg ORI,0,1
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,s***a,Mantap,0,0
ASUS X441UA-GA314T 14" HD,White,6079000,5,23,s***a,Mantap,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,a***4,work it saya seneng sekali dgn kurir baik hati,1,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,K***n,ok dan sesuai pesanan,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,j***y,Barang mantap spesifikasi sesuai harapan Fingerprint sensor berfungsi normal  Kecepatan pengiriman perlu ditingkatkan Thanks,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,y***y,lumayan,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,a***6,sudah diterima semoga awet terimakasih JDid,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,V***A,pengiriman cepat notebooknya ringan,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,s***4,Nice,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,s***4,Good,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,s***4,Nice,0,0
ASUS A407UA-BV319T 14" HD,Star Gray,5989000,4,27,r***o,Original,0,1
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,d***a,good,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,j***u,pengiriman super cepat barang bagus,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,F***e,Good,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,d***8,Mantap,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,l***a,puas murah cepat top markotop,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,s***g,dapat promo 56jt,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,j***e,ya,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,F***i,berkali kali belanjapuas,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,s***a,Mantap,0,0
ASUS X441UA-GA311T 14" HD,Black,6079000,5,29,I***R,Thanks,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,s***s,Sip barangnya aslibagus,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,o***a,Mantap,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,D***o,joss,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,V***y,y,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,y***h,good,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,A***n,Pengiriman super kilat amp barang packing rapi Barang ORI Sudah di otak atik laptop nya amp hasil nya Baguus  Lumayan for student,0,1
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,I***R,Thanks,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,d***8,mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap  mantap mantap mantap mantap,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,i***0,ok,0,0
ASUS X441MA-GA013T 14" HD,Red,4249000,5,43,v***a,Terima Kasih Barang Sudah sampai,0,0
ASUS A407UA-BV320T 14",Icicle Gold,5989000,4,19,A***n,packing rapihbaranf berfungsi dengan baik semoga awet,1,0
ASUS A407UA-BV320T 14",Icicle Gold,5989000,4,19,j***1,Barang berkualitas sesuai ekspektasi Dikirim dalam 3 hari ke tempat saya di daerah Jakarta Pusat Overall memuaskan Thanks JD ID,0,0
ASUS A407UA-BV320T 14",Icicle Gold,5989000,4,19,R***y,pesan warna Gold yg dikirim Silver tidak sesuai harapan lama pula,0,0
